videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId,commentId
puqaWrEC7tY,This gets a like for the thumbnail alone,This gets a like for the thumbnail alone,Zach Atkinson,https://yt3.ggpht.com/ytc/AGIKgqMHdzphduTOLTi0zs0ju9K1b--vXFO9SPgex4M-yQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCdeGbp3EiKT6eqHlEIGvs8w,{'value': 'UCdeGbp3EiKT6eqHlEIGvs8w'},True,none,1,2018-09-23T15:58:00Z,2018-09-23T15:58:00Z,,UgzJoicWr08GvxfeaeJ4AaABAg
puqaWrEC7tY,I&#39;ll be honest<br>I can jam to Rockstar<br>I just really like that song,"I'll be honest
I can jam to Rockstar
I just really like that song",NoRMiEx,https://yt3.ggpht.com/ytc/AGIKgqNCfVfMabmtn_eSJWmQNPu3cxvSkiu9l2jW4ANGmA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC6zlbVNhqVYexF-F0aEt2Bw,{'value': 'UC6zlbVNhqVYexF-F0aEt2Bw'},True,none,0,2018-09-23T03:07:06Z,2018-09-23T03:07:06Z,,UgzTzUo0S0SnOgpQfHd4AaABAg
puqaWrEC7tY,Youre a poser if you can&#39;t admit they were good,Youre a poser if you can't admit they were good,Nephilim Heart,https://yt3.ggpht.com/ytc/AGIKgqNMlA2iJBv-IZL3T5gtKPkigOEmTLfEskFlmRaePA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCs9_dN6xpT35NnQttZLbbEw,{'value': 'UCs9_dN6xpT35NnQttZLbbEw'},True,none,0,2018-09-22T23:04:21Z,2018-09-22T23:04:21Z,,UgyYoSEw_SV90tOVIjF4AaABAg
puqaWrEC7tY,I like nickleback 😡,I like nickleback 😡,Weirdo State,https://yt3.ggpht.com/JR0_WLuI09OBOli8tGWB3Nwcby5RcGpZpyXOV5nPrDgYh2sP7FccfUEyztqCTpJmGG9MKK_f=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCp93kio2FbBWXmZgXzmgN7g,{'value': 'UCp93kio2FbBWXmZgXzmgN7g'},True,none,0,2018-09-20T13:25:11Z,2018-09-20T13:25:11Z,,Ugx3Y8rz5jyjskhDvRJ4AaABAg
puqaWrEC7tY,"They’re a good band. Plus, they’re from my province!","They’re a good band. Plus, they’re from my province!",Abbey,https://yt3.ggpht.com/h1K6g4GkeMrtimdlTh1JGpkuDoiWymWdfe-XTe3ZUosH6ebY2vdTdAsSQRaLM95J2LJDXHEjcA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCtlvyWYH_y_9j_wunzJE6Vw,{'value': 'UCtlvyWYH_y_9j_wunzJE6Vw'},True,none,0,2018-09-19T00:06:36Z,2018-09-19T00:06:36Z,,UgymyGXWaaJAH0j4kDN4AaABAg
puqaWrEC7tY,Idk if they are joking about not knowing what the mile high club is or of he was serious?,Idk if they are joking about not knowing what the mile high club is or of he was serious?,adrian crevan,https://yt3.ggpht.com/ytc/AGIKgqPJH6ai9_RT5XhRljAZT9JWGtGyMWcWDB6zoMIsfQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC9GneWscRzQHAA8B1u1WLUw,{'value': 'UC9GneWscRzQHAA8B1u1WLUw'},True,none,0,2018-09-17T06:48:16Z,2018-09-17T06:48:16Z,,UgwAPpRlfxTRFrQzVSJ4AaABAg
puqaWrEC7tY,"So I finally got around to watching this. You both have to listen to Nickelback. I aced it all. They&#39;re my favorite band, deal with it!","So I finally got around to watching this. You both have to listen to Nickelback. I aced it all. They're my favorite band, deal with it!",Brooklyn Phoenix,https://yt3.ggpht.com/ytc/AGIKgqM4BXfsmwYQb87Dn1QzNxEC8wVs39o5ZAFCzQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCfFRfPPxm3zeEehQCfZZhhA,{'value': 'UCfFRfPPxm3zeEehQCfZZhhA'},True,none,0,2018-09-15T02:39:22Z,2018-09-15T02:39:22Z,,UgxJ7Zpjy5E32MOc-Yh4AaABAg
puqaWrEC7tY,Haha jokes on you I like nickel back,Haha jokes on you I like nickel back,SCR3AM BO1,https://yt3.ggpht.com/ytc/AGIKgqOnKEAbPZNDiL8RKA1hcuI4oP2ECtz3yytPt51E=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCvQJmUMdaciLCyA27jUM8fg,{'value': 'UCvQJmUMdaciLCyA27jUM8fg'},True,none,0,2018-09-11T09:04:52Z,2018-09-11T09:04:52Z,,UgwHs2ur0OWsG8GqQMt4AaABAg
puqaWrEC7tY,Nickelback isn’t bad honestly. I listen to nickelback regularly,Nickelback isn’t bad honestly. I listen to nickelback regularly,William York,https://yt3.ggpht.com/ytc/AGIKgqM6EzBo-q22CCcKxhUHXAfka5ZOhiqdhfXQLy0Ajg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC1DTj8f_yhIxvDGp-50kQnw,{'value': 'UC1DTj8f_yhIxvDGp-50kQnw'},True,none,0,2018-09-07T09:14:46Z,2018-09-07T09:14:46Z,,UgwomqWF8rLGuOtOBuJ4AaABAg
puqaWrEC7tY,best band in the world,best band in the world,james harmer,https://yt3.ggpht.com/ytc/AGIKgqOuWR-sjzfc92PwxGce8O5jwZG8ryMd2XMojQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCHvelqemgig79_GtKGGcVBg,{'value': 'UCHvelqemgig79_GtKGGcVBg'},True,none,0,2018-09-05T20:28:45Z,2018-09-05T20:28:45Z,,UgwVzUpNRkZ23LxDt7J4AaABAg
